yearMonth,entrances,sessions,pageviews,transactions,transactionsPerSession,revenuePerTransaction
"December, 2020",16838,16838,27841,0,0.0,0.0
"November, 2020",18671,18671,30893,0,0.0,0.0
"October, 2020",20839,20839,36128,0,0.0,0.0
"September, 2020",23158,23159,39408,0,0.0,0.0
"August, 2020",26461,26461,44705,0,0.0,0.0
"July, 2020",30106,30106,49009,0,0.0,0.0
"June, 2020",32476,32476,53217,0,0.0,0.0
"May, 2020",28552,28553,48794,0,0.0,0.0
"April, 2020",15555,15555,26681,0,0.0,0.0
"March, 2020",17029,17029,29515,0,0.0,0.0
"February, 2020",15515,15516,28302,0,0.0,0.0
"January, 2020",14650,14650,27608,0,0.0,0.0
"December, 2019",11233,11233,21063,0,0.0,0.0
"November, 2019",12662,12662,23391,0,0.0,0.0
"October, 2019",421,421,627,0,0.0,0.0
